fixture,source,category,fragment,tactic,bytes,z3_result,lake_check,note
mathd_algebra_113,Test/mathd_algebra_113.lean,polynomial_inequality,NRA,nlinarith,1060,unsat,accepted,(x : ℝ) : x² - 14x + 3 ≥ 7² - 14*7 + 3
mathd_algebra_410,Valid/mathd_algebra_410.lean,polynomial_inequality,NRA,nlinarith,1430,timeout,accepted,(x y : ℝ) (h₀ : y = x² - 6x + 13) : 4 ≤ y
mathd_algebra_37,Valid/mathd_algebra_37.lean,polynomial_system,NRA,nlinarith,1457,unsat,accepted,(x y : ℝ) (h₀ : x+y=7) (h₁ : 3x+y=45) : x² - y² = 217
mathd_algebra_141,Test/mathd_algebra_141.lean,polynomial_system,NRA,nlinarith,1460,unsat,accepted,(a b : ℝ) (h₁ : ab=180) (h₂ : 2(a+b)=54) : a² + b² = 369
mathd_algebra_234,Valid/mathd_algebra_234.lean,polynomial_system,NRA,nlinarith,1121,unsat,accepted,(d : ℝ) (h₀ : 27/125 * d = 9/25) : 3/5 * d^3 = 25/9
mathd_algebra_338,Test/mathd_algebra_338.lean,polynomial_system,NRA,nlinarith,1972,unsat,rejected,(a b c : ℝ) 3a+b+c=-3; a+3b+c=9; a+b+3c=19 → abc=-56
mathd_numbertheory_136,Valid/mathd_numbertheory_136.lean,numbertheory_int,LIA,omega,1040,unsat,accepted,(n : ℕ) (h₀ : 123n + 17 = 39500) : n = 321
mathd_numbertheory_326,Valid/mathd_numbertheory_326.lean,numbertheory_int,NIA,omega_nat,1058,unsat,accepted,(n : ℤ) (h₀ : (n-1)*n*(n+1) = 720) : n + 1 = 10
mathd_numbertheory_48,Valid/mathd_numbertheory_48.lean,numbertheory_int,NIA,omega_nat,1071,unsat,accepted,(b : ℕ) (h₀ : 0 < b) (h₁ : 3b² + 2b + 1 = 57) : b = 4
mathd_algebra_123,Valid/mathd_algebra_123.lean,numbertheory_int,LIA,omega,1465,unsat,accepted,(a b : ℕ) (0<a ∧ 0<b) (a+b=20) (a=3b) : a - b = 10
